dbms,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,DENXRATE,50,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,MCTRXSTT,51,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,CorrespondingUnit,52,char,5,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,VOIDED,53,tinyint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Back_Out_JE,54,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Back_Out_JE_Year,55,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Correcting_JE,56,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Correcting_JE_Year,57,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Original_JE,58,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Original_JE_Seq_Num,59,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Original_JE_Year,60,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Ledger_ID,61,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,Adjustment_Transaction,62,tinyint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,DEX_ROW_TS,63,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,DEX_ROW_ID,64,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DynamicReportFromStatements,FromSQLName,1,varchar,50,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DynamicReportFromStatements,FromSQLStatement,2,nvarchar,-1,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DynamicReportFromStatements,FromSQLDependency,3,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,InvoiceLineDistributionID,1,bigint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,InvoiceLineID,2,bigint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,CreatedOn,3,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,DistributionTypeID,4,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,AccountTypeID,5,tinyint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,AccountNumber,6,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,DebitAmount,7,decimal,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,CreditAmount,8,decimal,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistributionForExport_20171013_v1,Description,9,nvarchar,250,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,SearchID,1,bigint,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,FromAboutTypeID,2,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,FromReferenceID,3,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,ToAboutTypeID,4,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,SearchedBy,5,uniqueidentifier,NULL,FOREIGN KEY,dbo,aspnet_Users,UserId
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,SearchedOn,6,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,QueryString,7,nvarchar,-1,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,EntityID,8,uniqueidentifier,NULL,FOREIGN KEY,dbo,Entities,EntityID
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,Name,9,nvarchar,100,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,SearchDefinitionId,10,nvarchar,100,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,DataSourcesJson,11,nvarchar,500,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,ParametersJson,12,nvarchar,-1,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,IsAutomatic,13,bit,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,IsPublic,14,bit,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,IsDeleted,15,bit,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,SavedSearches,LayoutJson,16,nvarchar,-1,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DirectDepositAccountTypeByCountry,AccountTypeID,1,int,NULL,FOREIGN KEY,dbo,DirectDepositAccountType,TypeID
sqlserver,erecruit_TRUSTAFF,dbo,DirectDepositAccountTypeByCountry,AccountTypeID,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DirectDepositAccountTypeByCountry,CountryID,2,int,NULL,FOREIGN KEY,dbo,Countries,CountryID
sqlserver,erecruit_TRUSTAFF,dbo,DirectDepositAccountTypeByCountry,CountryID,2,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,First Name,1,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Last Name,2,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Email,3,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Password,4,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Title,5,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Department,6,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Role,7,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Start Date,8,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Address Line 1,9,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Address Line 2,10,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,City,11,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,State/Province,12,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Country,13,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Postal Code/Zip,14,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Business Phone,15,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Business Fax,16,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,xlsUsers,Mobile Phone,17,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,RecordID,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,PositionID,2,int,NULL,FOREIGN KEY,dbo,POSITION,POSITION_ID
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,VendorID,3,int,NULL,FOREIGN KEY,dbo,Vendors,VendorID
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,PublishedBy,4,uniqueidentifier,NULL,FOREIGN KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,PublishedOn,5,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,VendorContactIDs,6,nvarchar,-1,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,VendorContactNames,7,nvarchar,-1,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,TierID,8,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,FolderGroupCategoryID,9,int,NULL,FOREIGN KEY,dbo,FOLDER_GROUP_CAT,FG_CAT_ID
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,StateID,10,int,NULL,FOREIGN KEY,dbo,States,StateID
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,ClientAgreementID,11,int,NULL,FOREIGN KEY,dbo,VendorClientAgreements,RecordID
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,SubmittalLimit,12,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,PublishedPositions,LastModifiedOn,13,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,MonsterAccounts,AccountID,1,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,MonsterAccounts,AccountName,2,nvarchar,250,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,MonsterAccounts,UserName,3,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,MonsterAccounts,Password,4,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,MonsterAccounts,JobQuota,5,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,MonsterAccounts,IsEnabled,6,bit,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,EEOCategories,CategoryID,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,EEOCategories,Name,2,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,InvoiceLineDistributionID,1,bigint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,InvoiceLineID,2,bigint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,CreatedOn,3,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,DistributionTypeID,4,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,AccountTypeID,5,tinyint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,AccountNumber,6,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,DebitAmount,7,decimal,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,CreditAmount,8,decimal,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,custom,_bkup_bsa_InvoiceLineDistribution_20171013_v1,Description,9,nvarchar,250,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DashboardGraphs,GraphId,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DashboardGraphs,GraphName,2,nvarchar,200,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DashboardGraphs,GraphType,3,tinyint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DashboardGraphs,StoredProcedureName,4,varchar,100,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,DashboardGraphs,Options,5,nvarchar,1000,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,WORK_COMP_ID,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,NAME,2,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,WORK_COMP_PERC,3,float,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,CODE,4,nvarchar,10,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,STATE,5,nvarchar,2,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,BH_WCID,6,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,EntityID,7,uniqueidentifier,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,IsEnabled,8,bit,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,OTTypeID,9,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,GPWorkCompID,10,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,FederalID,11,int,NULL,FOREIGN KEY,dbo,EntityFederalIDs,FederalID
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,ModifiedPercentage,12,decimal,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,NewPercentage,13,decimal,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,NewModifiedPercentage,14,decimal,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,RateChangeEffectiveDate,15,smalldatetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CNTR_BURDEN_WORK_COMP,HourlyAmount,16,decimal,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Company Name,1,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Address Line 1,2,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Address Line 2,3,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,City,4,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,State/Province,5,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Postal Code/Zip,6,float,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Country,7,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Industry,8,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Primary Owner,9,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Main Phone,10,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Main Fax,11,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Web Site,12,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Facebook,13,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,LinkedIn,14,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Twitter,15,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Source,16,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Type,17,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Status,18,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,Date Created,19,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,FG Level 1,20,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,FG Level 2,21,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,_xls_Companies,FG Level 3,22,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CandidateRequirements,RecordID,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,CandidateRequirements,CandidateID,2,int,NULL,FOREIGN KEY,dbo,CANDIDATE,CANDIDATE_ID
sqlserver,erecruit_TRUSTAFF,dbo,CandidateRequirements,RequirementID,3,int,NULL,FOREIGN KEY,dbo,Requirements,RequirementID
sqlserver,erecruit_TRUSTAFF,dbo,CandidateRequirements,Reference,4,nvarchar,50,NULL,NULL,NULL,NULL
